lambda_delay,lambda_migration,lambda_resource,lambda_balance,migrate_threshold,cooldown_steps,max_candidates,d_max,queue_penalty_coeff,sensitivity_coeff,migration_state_coeff,migration_hops_coeff,migration_norm_factor,resource_tension_max,allocation_failure_penalty,mean_cost_margin_vs_nearest,mean_failed_gap_vs_nearest,mean_delay_gap_vs_nearest
0.23529411764705882,0.21568627450980393,0.3529411764705882,0.19607843137254902,0.06,3,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-11.882179196470759,-0.10625000000000018,0.05208047647562708
0.23529411764705882,0.2549019607843137,0.3137254901960784,0.19607843137254902,0.03,3,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-11.875897511886961,-0.10625000000000018,0.049789686914692766
0.23529411764705882,0.2549019607843137,0.3137254901960784,0.19607843137254902,0.06,3,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-11.875897511886961,-0.10625000000000018,0.049789686914692766
0.23529411764705882,0.2549019607843137,0.3137254901960784,0.19607843137254902,0.09,3,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-11.875897511886961,-0.10625000000000018,0.049789686914692766
0.26666666666666666,0.19999999999999998,0.35555555555555557,0.17777777777777778,0.03,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-11.861296704215334,-0.10625000000000018,0.011303047090720497
0.2553191489361702,0.19148936170212766,0.3829787234042553,0.17021276595744683,0.03,3,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-11.853461380424477,-0.10625000000000018,0.036327882200076544
0.2553191489361702,0.23404255319148937,0.3829787234042553,0.1276595744680851,0.09,3,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-11.853198356178211,-0.10625000000000018,0.03263719446582769
0.24489795918367346,0.2653061224489796,0.3673469387755102,0.12244897959183673,0.03,3,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-11.8516465650074,-0.10625000000000018,0.049789686914692766
0.24489795918367346,0.2653061224489796,0.3673469387755102,0.12244897959183673,0.06,3,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-11.84661641938095,-0.10625000000000018,0.05404113533595378
0.24489795918367346,0.2653061224489796,0.3673469387755102,0.12244897959183673,0.09,3,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-11.84661641938095,-0.10625000000000018,0.05404113533595378
0.26666666666666666,0.19999999999999998,0.3111111111111111,0.22222222222222224,0.03,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-11.843416330663814,-0.10625000000000018,0.011303047090720497
